draft_year,round,pick_number,drafted_by,player_name,position,games_played,points,performance_score
2014,7,204,Colorado Avalanche,Julien Nantel,L,0.0,0.0,0.0
2014,7,205,Anaheim Ducks,Ondrej Kase,R,258.0,124.0,541.96
2014,7,206,Boston Bruins,Emil Johansson,D,0.0,0.0,0.0
2014,7,207,Montreal Canadiens,Jake Evans,C,412.0,150.0,652.81
2014,7,208,Chicago Blackhawks,Jack Ramsey,D,0.0,0.0,0.0
2014,7,209,Los Angeles Kings,Spencer Watson,R,0.0,0.0,0.0
2014,7,210,Los Angeles Kings,Jacob Middleton,D,375.0,93.0,558.18
2015,1,1,Edmonton Oilers,Connor McDavid,C,789.0,1208.0,1604.17
2015,1,2,Buffalo Sabres,Jack Eichel,C,685.0,690.0,1177.19
2015,1,3,Arizona Coyotes,Dylan Strome,C,593.0,439.0,959.53
2015,1,4,Toronto Maple Leafs,Mitch Marner,R,733.0,818.0,1265.78
2015,1,5,Carolina Hurricanes,Noah Hanifin,D,824.0,350.0,702.28
2015,1,6,New Jersey Devils,Pavel Zacha,C,702.0,403.0,824.01
2015,1,7,Philadelphia Flyers,Ivan Provorov,D,773.0,312.0,685.05
2015,1,8,Columbus Blue Jackets,Zach Werenski,D,637.0,462.0,947.27
2015,1,9,San Jose Sharks,Timo Meier,R,692.0,476.0,916.77
2015,1,10,Colorado Avalanche,Mikko Rantanen,R,711.0,778.0,1248.06
2015,1,11,Florida Panthers,Lawson Crouse,L,660.0,255.0,670.98
2015,1,12,Dallas Stars,Denis Gurianov,R,298.0,113.0,556.77
2015,1,13,Boston Bruins,Jakub Zboril,D,76.0,16.0,112.64
2015,1,14,Boston Bruins,Jake DeBrusk,L,622.0,352.0,817.36
2015,1,15,Boston Bruins,Zachary Senyshyn,R,16.0,3.0,22.87
2015,1,16,New York Islanders,Mathew Barzal,C,607.0,532.0,1070.51
2015,1,17,Winnipeg Jets,Kyle Connor,L,689.0,669.0,1147.58
2015,1,18,Ottawa Senators,Thomas Chabot,D,567.0,335.0,837.67
2015,1,19,Detroit Red Wings,Evgeny Svechnikov,L,172.0,45.0,275.05
2015,1,20,Minnesota Wild,Joel Eriksson Ek,C,611.0,346.0,817.66
2015,1,21,Ottawa Senators,Colin White,C,323.0,113.0,581.77
2015,1,23,Vancouver Canucks,Brock Boeser,R,623.0,478.0,981.5
2015,1,24,Philadelphia Flyers,Travis Konecny,R,718.0,542.0,971.4
2015,1,25,Winnipeg Jets,Jack Roslovic,C,590.0,294.0,762.24
2015,1,26,Montreal Canadiens,Noah Juulsen,D,208.0,27.0,269.83
2015,1,27,Anaheim Ducks,Jacob Larsson,D,172.0,24.0,226.96
2015,1,28,New York Islanders,Anthony Beauvillier,L,708.0,297.0,697.99
2015,1,29,Columbus Blue Jackets,Gabriel Carlsson,D,81.0,18.0,122.22
2015,1,30,Arizona Coyotes,Nick Merkley,R,41.0,15.0,75.35
2015,2,31,San Jose Sharks,Jeremy Roy,D,0.0,0.0,0.0
2015,2,32,Arizona Coyotes,Christian Fischer,R,523.0,137.0,569.55
2015,2,33,Tampa Bay Lightning,Mitchell Stephens,C,123.0,19.0,166.51
2015,2,34,Toronto Maple Leafs,Travis Dermott,D,348.0,62.0,489.98
2015,2,35,Carolina Hurricanes,Sebastian Aho,C,753.0,709.0,1123.6
2015,2,36,Ottawa Senators,Gabriel Gagne,R,0.0,0.0,0.0
2015,2,37,Boston Bruins,Brandon Carlo,D,691.0,119.0,496.4
2015,2,38,Columbus Blue Jackets,Paul Bittner,L,0.0,0.0,0.0
2015,2,39,Colorado Avalanche,A.J. Greer,L,320.0,77.0,496.33
2015,2,40,Colorado Avalanche,Nicolas Meloche,D,57.0,8.0,75.32
2015,2,41,New York Rangers,Ryan Gropp,L,0.0,0.0,0.0
2015,2,43,Los Angeles Kings,Erik Cernak,D,496.0,119.0,551.59
2015,2,44,Tampa Bay Lightning,Matthew Spencer,D,0.0,0.0,0.0
2015,2,45,Boston Bruins,Jakob Forsbacka-Karlsson,C,29.0,9.0,49.61
2015,2,46,Pittsburgh Penguins,Daniel Sprong,R,374.0,166.0,717.84
2015,2,47,Winnipeg Jets,Jansen Harkins,C,305.0,45.0,408.05
2015,2,48,Ottawa Senators,Filip Chlapik,C,57.0,11.0,82.19
2015,2,49,Dallas Stars,Roope Hintz,C,521.0,421.0,1014.76
2015,2,50,Minnesota Wild,Jordan Greenway,L,471.0,165.0,641.59
2015,2,51,Buffalo Sabres,Brendan Guhle,D,65.0,14.0,97.06
2015,2,52,Boston Bruins,Jeremy Lauzon,D,379.0,58.0,480.76
2015,2,53,Calgary Flames,Rasmus Andersson,D,612.0,274.0,720.99
2015,2,54,Chicago Blackhawks,Graham Knott,C,0.0,0.0,0.0
2015,2,55,Nashville Predators,Yakov Trenin,C,451.0,118.0,569.3
2015,2,56,St. Louis Blues,Vince Dunn,D,616.0,327.0,788.77
2015,2,57,Washington Capitals,Jonas Siegenthaler,D,443.0,79.0,501.38
2015,2,58,Columbus Blue Jackets,Kevin Stenlund,C,362.0,90.0,558.68
2015,2,59,Anaheim Ducks,Julius Nattinen,L,0.0,0.0,0.0
2015,2,60,Calgary Flames,Oliver Kylington,D,220.0,60.0,357.4
2015,2,61,Toronto Maple Leafs,Jeremy Bracco,R,0.0,0.0,0.0
2015,3,62,New York Rangers,Robin Kovacs,R,0.0,0.0,0.0
2015,3,63,Arizona Coyotes,Kyle Capobianco,D,106.0,17.0,144.93
2015,3,64,Tampa Bay Lightning,Dennis Yan,L,0.0,0.0,0.0
2015,3,65,Toronto Maple Leafs,Andrew Nielsen,D,0.0,0.0,0.0
2015,3,66,Vancouver Canucks,Guillaume Brisebois,D,30.0,3.0,36.87
2015,3,67,New Jersey Devils,Blake Speers,C,5.0,0.0,5.0
2015,3,68,Toronto Maple Leafs,Martins Dzierkals,R,0.0,0.0,0.0
2015,3,69,Columbus Blue Jackets,Keegan Kolesar,R,434.0,120.0,581.41
2015,3,71,Colorado Avalanche,Jean-Christophe Beaudin,C,22.0,1.0,24.29
2015,3,72,Tampa Bay Lightning,Anthony Cirelli,C,579.0,344.0,840.36
2015,3,73,Detroit Red Wings,Vili Saarijarvi,D,0.0,0.0,0.0
2015,3,74,Los Angeles Kings,Alexander Dergachyov,C,0.0,0.0,0.0
2015,3,78,Winnipeg Jets,Erik Foley,L,0.0,0.0,0.0
2015,3,79,New York Rangers,Sergey Zborovskiy,D,0.0,0.0,0.0
2015,3,80,Anaheim Ducks,Brent Gates,C,0.0,0.0,0.0
2015,3,81,Arizona Coyotes,Brendan Warren,L,0.0,0.0,0.0
2015,3,82,New York Islanders,Mitchell Vande Sompel,D,0.0,0.0,0.0
2015,3,83,Arizona Coyotes,Jens Looke,R,0.0,0.0,0.0
2015,3,84,Anaheim Ducks,Deven Sideroff,R,0.0,0.0,0.0
2015,3,85,Nashville Predators,Thomas Novak,C,280.0,156.0,637.24
2015,3,87,Montreal Canadiens,Lukas Vejdemo,C,13.0,2.0,17.58
2015,3,88,Florida Panthers,Thomas Schemitsch,D,0.0,0.0,0.0
2015,3,89,New York Rangers,Aleksi Saarela,C,9.0,4.0,18.16
2015,3,91,Chicago Blackhawks,Dennis Gilbert,D,117.0,21.0,165.09
2015,4,92,Buffalo Sabres,Will Borgen,D,368.0,83.0,539.87
2015,4,94,St. Louis Blues,Adam Musil,C,0.0,0.0,0.0
2015,4,95,Toronto Maple Leafs,Jesper Lindgren,D,0.0,0.0,0.0
2015,4,96,Carolina Hurricanes,Nicolas Roy,C,437.0,189.0,708.59
2015,4,97,New Jersey Devils,Colton White,D,107.0,14.0,139.06
2015,4,98,Philadelphia Flyers,Samuel Dove-McFalls,C,0.0,0.0,0.0
2015,4,99,Los Angeles Kings,Austin Wagner,L,178.0,42.0,274.18
2015,4,100,Nashville Predators,Anthony Richard,C,39.0,14.0,71.06
2015,4,101,Colorado Avalanche,Andrei Mironov,D,10.0,3.0,16.87
2015,4,102,Florida Panthers,Denis Malgin,C,257.0,81.0,442.49
2015,4,103,Dallas Stars,Chris Martenet,D,0.0,0.0,0.0
2015,4,104,Philadelphia Flyers,Mikhail Vorobyov,C,35.0,5.0,46.45
2015,4,105,Boston Bruins,Jesse Gabrielle,L,0.0,0.0,0.0
2015,4,106,San Jose Sharks,Adam Helewka,L,0.0,0.0,0.0
2015,4,107,Ottawa Senators,Christian Wolanin,D,86.0,23.0,138.67
2015,4,108,Winnipeg Jets,Michael Spacek,C,0.0,0.0,0.0
2015,4,109,Ottawa Senators,Filip Ahl,L,0.0,0.0,0.0
2015,4,112,New York Islanders,Parker Wotherspoon,D,185.0,45.0,288.05
2015,4,113,New York Rangers,Brad Morrison,C,0.0,0.0,0.0
2015,4,114,Vancouver Canucks,Dmitry Zhukenov,C,0.0,0.0,0.0
2015,4,115,Nashville Predators,Alexandre Carrier,D,369.0,109.0,596.82
2015,4,116,St. Louis Blues,Glenn Gawdin,C,13.0,1.0,15.29
2015,4,117,Edmonton Oilers,Caleb Jones,D,255.0,56.0,383.24
2015,4,118,Tampa Bay Lightning,Jonne Tammela,C,0.0,0.0,0.0
2015,4,119,New York Rangers,Daniel Bernhardt,R,0.0,0.0,0.0
2015,4,120,Tampa Bay Lightning,Mathieu Joseph,R,467.0,160.0,635.31
2015,4,121,Chicago Blackhawks,Ryan Shea,D,146.0,37.0,230.73
2015,5,122,Buffalo Sabres,Devante Stephens,D,0.0,0.0,0.0
2015,5,123,Arizona Coyotes,Conor Garland,R,551.0,324.0,835.38
2015,5,124,Edmonton Oilers,Ethan Bear,D,275.0,67.0,428.43
2015,5,125,Toronto Maple Leafs,Dmytro Timashov,L,45.0,9.0,65.61
2015,5,126,Carolina Hurricanes,Luke Stevens,L,0.0,0.0,0.0
2015,5,127,St. Louis Blues,Niko Mikkola,D,396.0,73.0,506.28
2015,5,128,Philadelphia Flyers,David Kase,R,7.0,1.0,9.29
2015,5,129,Columbus Blue Jackets,Sam Ruopp,D,0.0,0.0,0.0
2015,5,130,San Jose Sharks,Karlis Cukste,D,0.0,0.0,0.0
2015,5,131,Montreal Canadiens,Matt Bradley,C,0.0,0.0,0.0
2015,5,132,Florida Panthers,Karch Bachman,L,0.0,0.0,0.0
2015,5,133,Dallas Stars,Joseph Cecconi,D,0.0,0.0,0.0
2015,5,134,Los Angeles Kings,Matt Schmalz,R,0.0,0.0,0.0
2015,5,135,Minnesota Wild,Kirill Kaprizov,L,393.0,470.0,1330.97
2015,5,136,Calgary Flames,Pavel Karnaukhov,L,0.0,0.0,0.0
2015,5,137,Pittsburgh Penguins,Dominik Simon,C,256.0,77.0,432.33
2015,5,138,Carolina Hurricanes,Spencer Smallman,R,0.0,0.0,0.0
2015,5,139,Ottawa Senators,Christian Jaros,D,94.0,14.0,126.06
2015,5,140,Detroit Red Wings,Chase Pearson,C,3.0,0.0,3.0
2015,5,141,Columbus Blue Jackets,Veeti Vainio,D,0.0,0.0,0.0
2015,5,142,San Jose Sharks,Rudolfs Balcers,L,170.0,62.0,311.98
2015,5,143,Washington Capitals,Connor Hobbs,D,0.0,0.0,0.0
2015,5,144,Vancouver Canucks,Carl Neill,D,0.0,0.0,0.0
2015,5,147,New York Islanders,Ryan Pilon,D,0.0,0.0,0.0
2015,5,148,Anaheim Ducks,Troy Terry,R,483.0,339.0,928.19
2015,5,149,Vancouver Canucks,Adam Gaudette,R,363.0,121.0,627.75
2015,5,150,Tampa Bay Lightning,Ryan Zuhlsdorf,D,0.0,0.0,0.0
2015,5,151,Chicago Blackhawks,Radovan Bondra,R,0.0,0.0,0.0
2015,6,152,Buffalo Sabres,Giorgio Estephan,C,0.0,0.0,0.0
